CRIM,INDUS,CHAS,NOX,RM,PTRATIO,B,LSTAT,MEDV
0.00632,2.31,0.0,0.538,6,15.3,396.9,4.98,24.0
0.02731,7.07,0.0,0.469,6,17.8,396.9,9.14,21.6
0.02729,7.07,0.0,0.469,7,17.8,392.83,4.03,34.7
0.03237,2.18,0.0,0.458,6,18.7,394.63,2.94,33.4
0.06905,2.18,0.0,0.458,7,18.7,396.9,5.33,36.2
0.02985,2.18,0.0,0.458,6,18.7,394.12,5.21,28.7
0.08829,7.87,0.0,0.524,6,15.2,395.6,12.43,22.9
0.14455,7.87,0.0,0.524,6,15.2,396.9,19.15,27.1
0.21124,7.87,0.0,0.524,5,15.2,386.63,29.93,16.5
0.17004,7.87,0.0,0.524,6,15.2,386.71,17.1,18.9
0.22489,7.87,0.0,0.524,6,15.2,392.52,20.45,15.0
0.11747,7.87,0.0,0.524,6,15.2,396.9,13.27,18.9
0.09378,7.87,0.0,0.524,5,15.2,390.5,15.71,21.7
0.62976,8.14,0.0,0.538,5,21.0,396.9,8.26,20.4
0.63796,8.14,0.0,0.538,6,21.0,380.02,10.26,18.2
0.62739,8.14,0.0,0.538,5,21.0,395.62,8.47,19.9
1.05393,8.14,0.0,0.538,5,21.0,386.85,6.58,23.1
0.7842,8.14,0.0,0.538,5,21.0,386.75,14.67,17.5
0.80271,8.14,0.0,0.538,5,21.0,288.99,11.69,20.2
0.7258,8.14,0.0,0.538,5,21.0,390.95,11.28,18.2
1.25179,8.14,0.0,0.538,5,21.0,376.57,21.02,13.6
0.85204,8.14,0.0,0.538,5,21.0,392.53,13.83,19.6
1.23247,8.14,0.0,0.538,6,21.0,396.9,18.72,15.2
0.98843,8.14,0.0,0.538,5,21.0,394.54,19.88,14.5
0.75026,8.14,0.0,0.538,5,21.0,394.33,16.3,15.6
0.84054,8.14,0.0,0.538,5,21.0,303.42,16.51,13.9
0.67191,8.14,0.0,0.538,5,21.0,376.88,14.81,16.6
0.95577,8.14,0.0,0.538,6,21.0,306.38,17.28,14.8
0.77299,8.14,0.0,0.538,6,21.0,387.94,12.8,18.4
1.00245,8.14,0.0,0.538,6,21.0,380.23,11.98,21.0
1.13081,8.14,0.0,0.538,5,21.0,360.17,22.6,12.7
1.35472,8.14,0.0,0.538,6,21.0,376.73,13.04,14.5
1.38799,8.14,0.0,0.538,5,21.0,232.6,27.71,13.2
1.15172,8.14,0.0,0.538,5,21.0,358.77,18.35,13.1
1.61282,8.14,0.0,0.538,6,21.0,248.31,20.34,13.5
0.06417,5.96,0.0,0.499,5,19.2,396.9,9.68,18.9
0.09744,5.96,0.0,0.499,5,19.2,377.56,11.41,20.0
0.08014,5.96,0.0,0.499,5,19.2,396.9,8.77,21.0
0.17505,5.96,0.0,0.499,5,19.2,393.43,10.13,24.7
0.02763,2.95,0.0,0.428,6,18.3,395.63,4.32,30.8
0.03359,2.95,0.0,0.428,7,18.3,395.62,1.98,34.9
0.12744,6.91,0.0,0.448,6,17.9,385.41,4.84,26.6
0.1415,6.91,0.0,0.448,6,17.9,383.37,5.81,25.3
0.15936,6.91,0.0,0.448,6,17.9,394.46,7.44,24.7
0.12269,6.91,0.0,0.448,6,17.9,389.39,9.55,21.2
0.17142,6.91,0.0,0.448,5,17.9,396.9,10.21,19.3
0.18836,6.91,0.0,0.448,5,17.9,396.9,14.15,20.0
0.22927,6.91,0.0,0.448,6,17.9,392.74,18.8,16.6
0.25387,6.91,0.0,0.448,5,17.9,396.9,30.81,14.4
0.21977,6.91,0.0,0.448,5,17.9,396.9,16.2,19.4
0.08873,5.64,0.0,0.439,5,16.8,395.56,13.45,19.7
0.04337,5.64,0.0,0.439,6,16.8,393.97,9.43,20.5
0.0536,5.64,0.0,0.439,6,16.8,396.9,5.28,25.0
0.04981,5.64,0.0,0.439,5,16.8,396.9,8.43,23.4
0.0136,4.0,0.0,0.41,5,21.1,396.9,14.8,18.9
0.01311,1.22,0.0,0.403,7,17.9,395.93,4.81,35.4
0.02055,0.74,0.0,0.41,6,17.3,396.9,5.77,24.7
0.01432,1.32,0.0,0.411,6,15.1,392.9,3.95,31.6
0.15445,5.13,0.0,0.453,6,19.7,390.68,6.86,23.3
0.10328,5.13,0.0,0.453,5,19.7,396.9,9.22,19.6
0.14932,5.13,0.0,0.453,5,19.7,395.11,13.15,18.7
0.17171,5.13,0.0,0.453,5,19.7,378.08,14.44,16.0
0.11027,5.13,0.0,0.453,6,19.7,396.9,6.73,22.2
0.1265,5.13,0.0,0.453,6,19.7,395.58,9.5,25.0
0.01951,1.38,0.0,0.4161,7,18.6,393.24,8.05,33.0
0.03584,3.37,0.0,0.398,6,16.1,396.9,4.67,23.5
0.04379,3.37,0.0,0.398,5,16.1,396.9,10.24,19.4
0.05789,6.07,0.0,0.409,5,18.9,396.21,8.1,22.0
0.13554,6.07,0.0,0.409,5,18.9,396.9,13.09,17.4
0.12816,6.07,0.0,0.409,5,18.9,396.9,8.79,20.9
0.08826,10.81,0.0,0.413,6,19.2,383.73,6.72,24.2
0.15876,10.81,0.0,0.413,5,19.2,376.94,9.88,21.7
0.09164,10.81,0.0,0.413,6,19.2,390.91,5.52,22.8
0.19539,10.81,0.0,0.413,6,19.2,377.17,7.54,23.4
0.07896,12.83,0.0,0.437,6,18.7,394.92,6.78,24.1
0.09512,12.83,0.0,0.437,6,18.7,383.23,8.94,21.4
0.10153,12.83,0.0,0.437,6,18.7,373.66,11.97,20.0
0.08707,12.83,0.0,0.437,6,18.7,386.96,10.27,20.8
0.05646,12.83,0.0,0.437,6,18.7,386.4,12.34,21.2
0.08387,12.83,0.0,0.437,5,18.7,396.06,9.1,20.3
0.04113,4.86,0.0,0.426,6,19.0,396.9,5.29,28.0
0.04462,4.86,0.0,0.426,6,19.0,395.63,7.22,23.9
0.03659,4.86,0.0,0.426,6,19.0,396.9,6.72,24.8
0.03551,4.86,0.0,0.426,6,19.0,390.64,7.51,22.9
0.05059,4.49,0.0,0.449,6,18.5,396.9,9.62,23.9
0.05735,4.49,0.0,0.449,6,18.5,392.3,6.53,26.6
0.05188,4.49,0.0,0.449,6,18.5,395.99,12.86,22.5
0.07151,4.49,0.0,0.449,6,18.5,395.15,8.44,22.2
0.0566,3.41,0.0,0.489,7,17.8,396.9,5.5,23.6
0.05302,3.41,0.0,0.489,7,17.8,396.06,5.7,28.7
0.04684,3.41,0.0,0.489,6,17.8,392.18,8.81,22.6
0.03932,3.41,0.0,0.489,6,17.8,393.55,8.2,22.0
0.04203,15.04,0.0,0.464,6,18.2,395.01,8.16,22.9
0.02875,15.04,0.0,0.464,6,18.2,396.33,6.21,25.0
0.04294,15.04,0.0,0.464,6,18.2,396.9,10.59,20.6
0.12204,2.89,0.0,0.445,6,18.0,357.98,6.65,28.4
0.11504,2.89,0.0,0.445,6,18.0,391.83,11.34,21.4
0.12083,2.89,0.0,0.445,8,18.0,396.9,4.21,38.7
0.08187,2.89,0.0,0.445,7,18.0,393.53,3.57,43.8
0.0686,2.89,0.0,0.445,7,18.0,396.9,6.19,33.2
0.14866,8.56,0.0,0.52,6,20.9,394.76,9.42,27.5
0.11432,8.56,0.0,0.52,6,20.9,395.58,7.67,26.5
0.22876,8.56,0.0,0.52,6,20.9,70.8,10.63,18.6
0.21161,8.56,0.0,0.52,6,20.9,394.47,13.44,19.3
0.1396,8.56,0.0,0.52,6,20.9,392.69,12.33,20.1
0.13262,8.56,0.0,0.52,5,20.9,394.05,16.47,19.5
0.1712,8.56,0.0,0.52,5,20.9,395.67,18.66,19.5
0.13117,8.56,0.0,0.52,6,20.9,387.69,14.09,20.4
0.12802,8.56,0.0,0.52,6,20.9,395.24,12.27,19.8
0.26363,8.56,0.0,0.52,6,20.9,391.23,15.55,19.4
0.10793,8.56,0.0,0.52,6,20.9,393.49,13.0,21.7
0.10084,10.01,0.0,0.547,6,17.8,395.59,10.16,22.8
0.12329,10.01,0.0,0.547,5,17.8,394.95,16.21,18.8
0.22212,10.01,0.0,0.547,6,17.8,396.9,17.09,18.7
0.14231,10.01,0.0,0.547,6,17.8,388.74,10.45,18.5
0.17134,10.01,0.0,0.547,5,17.8,344.91,15.76,18.3
0.13158,10.01,0.0,0.547,6,17.8,393.3,12.04,21.2
0.15098,10.01,0.0,0.547,6,17.8,394.51,10.3,19.2
0.13058,10.01,0.0,0.547,5,17.8,338.63,15.37,20.4
0.14476,10.01,0.0,0.547,5,17.8,391.5,13.61,19.3
0.06899,25.65,0.0,0.581,5,19.1,389.15,14.37,22.0
0.07165,25.65,0.0,0.581,6,19.1,377.67,14.27,20.3
0.09299,25.65,0.0,0.581,5,19.1,378.09,17.93,20.5
0.15038,25.65,0.0,0.581,5,19.1,370.31,25.41,17.3
0.09849,25.65,0.0,0.581,5,19.1,379.38,17.58,18.8
0.16902,25.65,0.0,0.581,5,19.1,385.02,14.81,21.4
0.38735,25.65,0.0,0.581,5,19.1,359.29,27.26,15.7
0.25915,21.89,0.0,0.624,5,21.2,392.11,17.19,16.2
0.32543,21.89,0.0,0.624,6,21.2,396.9,15.39,18.0
0.88125,21.89,0.0,0.624,5,21.2,396.9,18.34,14.3
0.34006,21.89,0.0,0.624,6,21.2,395.04,12.6,19.2
1.19294,21.89,0.0,0.624,6,21.2,396.9,12.26,19.6
0.59005,21.89,0.0,0.624,6,21.2,385.76,11.12,23.0
0.32982,21.89,0.0,0.624,5,21.2,388.69,15.03,18.4
0.97617,21.89,0.0,0.624,5,21.2,262.76,17.31,15.6
0.55778,21.89,0.0,0.624,6,21.2,394.67,16.96,18.1
0.32264,21.89,0.0,0.624,5,21.2,378.25,16.9,17.4
0.35233,21.89,0.0,0.624,6,21.2,394.08,14.59,17.1
0.2498,21.89,0.0,0.624,5,21.2,392.04,21.32,13.3
0.54452,21.89,0.0,0.624,6,21.2,396.9,18.46,17.8
0.2909,21.89,0.0,0.624,6,21.2,388.08,24.16,14.0
1.62864,21.89,0.0,0.624,5,21.2,396.9,34.41,14.4
3.32105,19.58,1.0,0.871,5,14.7,396.9,26.82,13.4
4.0974,19.58,0.0,0.871,5,14.7,396.9,26.42,15.6
2.77974,19.58,0.0,0.871,4,14.7,396.9,29.29,11.8
2.37934,19.58,0.0,0.871,6,14.7,172.91,27.8,13.8
2.15505,19.58,0.0,0.871,5,14.7,169.27,16.65,15.6
2.36862,19.58,0.0,0.871,4,14.7,391.71,29.53,14.6
2.33099,19.58,0.0,0.871,5,14.7,356.99,28.32,17.8
2.73397,19.58,0.0,0.871,5,14.7,351.85,21.45,15.4
1.6566,19.58,0.0,0.871,6,14.7,372.8,14.1,21.5
1.49632,19.58,0.0,0.871,5,14.7,341.6,13.28,19.6
1.12658,19.58,1.0,0.871,5,14.7,343.28,12.12,15.3
2.14918,19.58,0.0,0.871,5,14.7,261.95,15.79,19.4
1.41385,19.58,1.0,0.871,6,14.7,321.02,15.12,17.0
3.53501,19.58,1.0,0.871,6,14.7,88.01,15.02,15.6
2.44668,19.58,0.0,0.871,5,14.7,88.63,16.14,13.1
1.22358,19.58,0.0,0.605,6,14.7,363.43,4.59,41.3
1.34284,19.58,0.0,0.605,6,14.7,353.89,6.43,24.3
1.42502,19.58,0.0,0.871,6,14.7,364.31,7.39,23.3
1.27346,19.58,1.0,0.605,6,14.7,338.92,5.5,27.0
2.24236,19.58,0.0,0.605,5,14.7,395.11,11.64,22.7
2.924,19.58,0.0,0.605,6,14.7,240.16,9.81,25.0
1.80028,19.58,0.0,0.605,5,14.7,227.61,12.14,23.8
2.3004,19.58,0.0,0.605,6,14.7,297.09,11.1,23.8
2.44953,19.58,0.0,0.605,6,14.7,330.04,11.32,22.3
1.20742,19.58,0.0,0.605,5,14.7,292.29,14.43,17.4
2.3139,19.58,0.0,0.605,5,14.7,348.13,12.03,19.1
0.13914,4.05,0.0,0.51,5,16.6,396.9,14.69,23.1
0.09178,4.05,0.0,0.51,6,16.6,395.5,9.04,23.6
0.08447,4.05,0.0,0.51,5,16.6,393.23,9.64,22.6
0.06664,4.05,0.0,0.51,6,16.6,390.96,5.33,29.4
0.07022,4.05,0.0,0.51,6,16.6,393.23,10.11,23.2
0.05425,4.05,0.0,0.51,6,16.6,395.6,6.29,24.6
0.06642,4.05,0.0,0.51,6,16.6,391.27,6.92,29.9
0.0578,2.46,0.0,0.488,6,17.8,396.9,5.04,37.2
0.06588,2.46,0.0,0.488,7,17.8,395.56,7.56,39.8
0.06888,2.46,0.0,0.488,6,17.8,396.9,9.45,36.2
0.09103,2.46,0.0,0.488,7,17.8,394.12,4.82,37.9
0.10008,2.46,0.0,0.488,6,17.8,396.9,5.68,32.5
0.08308,2.46,0.0,0.488,5,17.8,391.0,13.98,26.4
0.06047,2.46,0.0,0.488,6,17.8,387.11,13.15,29.6
0.07875,3.44,0.0,0.437,6,15.2,393.87,6.68,32.0
0.12579,3.44,0.0,0.437,6,15.2,382.84,4.56,29.8
0.0837,3.44,0.0,0.437,7,15.2,396.9,5.39,34.9
0.09068,3.44,0.0,0.437,6,15.2,377.68,5.1,37.0
0.06911,3.44,0.0,0.437,6,15.2,389.71,4.69,30.5
0.08664,3.44,0.0,0.437,7,15.2,390.49,2.87,36.4
0.02187,2.93,0.0,0.401,6,15.6,393.37,5.03,31.1
0.01439,2.93,0.0,0.401,6,15.6,376.7,4.38,29.1
0.04011,1.52,0.0,0.404,7,12.6,396.9,4.08,33.3
0.04666,1.52,0.0,0.404,7,12.6,354.31,8.61,30.3
0.03768,1.52,0.0,0.404,7,12.6,392.2,6.62,34.6
0.0315,1.47,0.0,0.403,6,17.0,396.9,4.56,34.9
0.01778,1.47,0.0,0.403,7,17.0,384.3,4.45,32.9
0.03445,2.03,0.0,0.415,6,14.7,393.77,7.43,24.1
0.02177,2.03,0.0,0.415,7,14.7,395.38,3.11,42.3
0.0351,2.68,0.0,0.4161,7,14.7,392.78,3.81,48.5
0.13642,10.59,0.0,0.489,5,18.6,396.9,10.87,22.6
0.22969,10.59,0.0,0.489,6,18.6,394.87,10.97,24.4
0.25199,10.59,0.0,0.489,5,18.6,389.43,18.06,22.5
0.13587,10.59,1.0,0.489,6,18.6,381.32,14.66,24.4
0.43571,10.59,1.0,0.489,5,18.6,396.9,23.09,20.0
0.17446,10.59,1.0,0.489,5,18.6,393.25,17.27,21.7
0.37578,10.59,1.0,0.489,5,18.6,395.24,23.98,19.3
0.21719,10.59,1.0,0.489,5,18.6,390.94,16.03,22.4
0.14052,10.59,0.0,0.489,6,18.6,385.81,9.38,28.1
0.28955,10.59,0.0,0.489,5,18.6,348.93,29.55,23.7
0.19802,10.59,0.0,0.489,6,18.6,393.63,9.47,25.0
0.0456,13.89,1.0,0.55,5,16.4,392.8,13.51,23.3
0.07013,13.89,0.0,0.55,6,16.4,392.78,9.69,28.7
0.11069,13.89,1.0,0.55,5,16.4,396.9,17.92,21.5
0.11425,13.89,1.0,0.55,6,16.4,393.74,10.5,23.0
0.35809,6.2,1.0,0.507,6,17.4,391.7,9.71,26.7
0.40771,6.2,1.0,0.507,6,17.4,395.24,21.46,21.7
0.62356,6.2,1.0,0.507,6,17.4,390.39,9.93,27.5
0.6147,6.2,0.0,0.507,6,17.4,396.9,7.6,30.1
0.31533,6.2,0.0,0.504,8,17.4,385.05,4.14,44.8
0.38214,6.2,0.0,0.504,8,17.4,387.38,3.13,37.6
0.41238,6.2,0.0,0.504,7,17.4,372.08,6.36,31.6
0.29819,6.2,0.0,0.504,7,17.4,377.51,3.92,46.7
0.44178,6.2,0.0,0.504,6,17.4,380.34,3.76,31.5
0.537,6.2,0.0,0.504,5,17.4,378.35,11.65,24.3
0.46296,6.2,0.0,0.504,7,17.4,376.14,5.25,31.7
0.57529,6.2,0.0,0.507,8,17.4,385.91,2.47,41.7
0.33147,6.2,0.0,0.507,8,17.4,378.95,3.95,48.3
0.44791,6.2,1.0,0.507,6,17.4,360.2,8.05,29.0
0.33045,6.2,0.0,0.507,6,17.4,376.75,10.88,24.0
0.52058,6.2,1.0,0.507,6,17.4,388.45,9.54,25.1
0.51183,6.2,0.0,0.507,7,17.4,390.07,4.73,31.5
0.08244,4.93,0.0,0.428,6,16.6,379.41,6.36,23.7
0.09252,4.93,0.0,0.428,6,16.6,383.78,7.37,23.3
0.11329,4.93,0.0,0.428,6,16.6,391.25,11.38,22.0
0.10612,4.93,0.0,0.428,6,16.6,394.62,12.4,20.1
0.1029,4.93,0.0,0.428,6,16.6,372.75,11.22,22.2
0.12757,4.93,0.0,0.428,6,16.6,374.71,5.19,23.7
0.20608,5.86,0.0,0.431,5,19.1,372.49,12.5,17.6
0.19133,5.86,0.0,0.431,5,19.1,389.13,18.46,18.5
0.33983,5.86,0.0,0.431,6,19.1,390.18,9.16,24.3
0.19657,5.86,0.0,0.431,6,19.1,376.14,10.15,20.5
0.16439,5.86,0.0,0.431,6,19.1,374.71,9.52,24.5
0.19073,5.86,0.0,0.431,6,19.1,393.74,6.56,26.2
0.1403,5.86,0.0,0.431,6,19.1,396.28,5.9,24.4
